episode_uid,season,episode_number,key_status,title,sources,parked_reason
S02E001,2,1,provisional,Genesis Science Report | Dragon Tales + Gene Splicing S2 Ep1,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E004,2,4,provisional,Gene Duplication Theory + Living Fossil Revelations | Genesis Science Report S02 EP004,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E006,2,6,provisional,Kangaroos After the Flood + Fossil Bats | Genesis Science Report with David Rives | S02 Ep006,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E007,2,7,provisional,Flood Legends + Flying Lizards | Genesis Science Report with David Rives | S02 Ep007,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E008,2,8,provisional,Tuskless Elephants Evidence for the Bible? S2 EP 08 l David Rives on Genesis Science Report,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E009,2,9,provisional,Big Bang Busted!? l Genesis Science Report with David Rives l S02 Ep009,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E010,2,10,provisional,Creation Secrets Buried in the Earth | Genesis Science Report with David Rives | S02 Ep. 10,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E011,2,11,provisional,The Global Flood & Modern Science | Genesis Science Report with David Rives | S02 Ep. 11,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E012,2,12,provisional,Giant Birds and Extraterrestrial Life | Genesis Science Report with David Rives | S02 Ep. 12,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E013,2,13,provisional,"Collagen, Bugs and Climate Change | Genesis Science Report with David Rives | S02 Ep. 13",youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E014,2,14,provisional,Revealing Wonders of the Past | Genesis Science Report with David Rives | S02 Ep. 14,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E015,2,15,provisional,Colonizing Mars | Genesis Science Report with David Rives | S02 Ep. 15,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E016,2,16,provisional,A Worldly Legacy or Biblical Truth? | Genesis Science Report with David Rives | S02 Ep. 16,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E017,2,17,provisional,Dinosaurs to Birds | Genesis Science Report with David Rives | S02 Ep. 17,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E018,2,18,provisional,Beyond Earth | Genesis Science Report with David Rives | S02 Ep. 18,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E019,2,19,provisional,Defying Predictions | Genesis Science Report with David Rives | S02 Ep. 19,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E020,2,20,provisional,The Truth Revolution | Genesis Science Report with David Rives - S02 Ep.20,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E021,2,21,provisional,Are Humans Becoming Machines?  | Genesis Science Report with David Rives | S02 Ep. 21,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E022,2,22,provisional,7 Planets Are Lining Up in 2025 | Genesis Science Report with David Rives | S02 Ep. 22,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E023,2,23,provisional,Billion Dollar Empire and the Real Golden Age | Genesis Science Report with David Rives S02 Ep.23,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E024,2,24,provisional,What Hubble Just Taught Us After 10 YEARS | Genesis Science Report with David Rives | S02 Ep. 24,youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E025,2,25,provisional,Truth vs. Technology: What Are We Becoming? | Genesis Science Report with David Rives S02 Ep25,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E026,2,26,provisional,"Starlink, Predators & The Pre-Fall World | Genesis Science Report with David Rives | S02 Ep26",fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E027,2,27,provisional,Pipe Organs & Primates: Music vs. Evolution | Genesis Science Report with David Rives | S02 Ep27,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E028,2,28,provisional,Fossil Clams & Apex Killers | Genesis Science Report with David Rives | S02 Ep28,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E029,2,29,provisional,Designed to Adapt & Built for a Purpose | Genesis Science Report with David Rives | S02 Ep29,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E030,2,30,provisional,CRISPR Unleashed: What Could Go Wrong? | Genesis Science Report with David Rives | S02 Ep30,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E031,2,31,provisional,"Geodes, Geckos & God’s Hidden Wonders | Genesis Science Report with David Rives | S02 Ep31",fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E032,2,32,provisional,Science Behind Extinct Species Resurrection | Genesis Science Report with David Rives | S02 Ep. 32,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E033,2,33,provisional,Satanic Schools and Space Billionaires? | Genesis Science Report with David Rives |  S2 Ep.33,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E034,2,34,provisional,Project 2025 & Proof of Design | Genesis Science Report with David Rives | S02 EP. 34,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E035,2,35,provisional,The Secrets of Resurrection | Genesis Science Report with David Rives | S.02 Ep.35,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E036,2,36,provisional,Exposing Evolution’s Dark Past | Genesis Science Report with David Rives | S.02 Ep.36,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E037,2,37,provisional,S02 Ep037 | DNA Myths Shattered and Climate Fears Examined,fireside,"D1 — S02 deferred (platform-provisional, no production source)"
S02E038,2,38,provisional,Quantum Gravity Breakthrough and Gold in Earth’s Core? | Genesis Science Report | S02 Ep38,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E039,2,39,provisional,Exodus Pharaoh + Fossils in Wrong Places | Genesis Science Report with David Rives | S.02 Ep.39,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E040,2,40,provisional,Cosmic Countdown? + Satire Still Speaks Truth | Genesis Science Report with David Rives | S02 Ep40,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E041,2,41,provisional,Surviving Mount St. Helens + Gold for Blindness | Genesis Science Report with David Rives | S02 Ep41,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E042,2,42,provisional,Big Bang Challenged + DNA Experiment | Genesis Science Report with David Rives | S02 Ep042,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E043,2,43,provisional,"Mars ""Skull Hill"" + Mystery of Cambrian Life | Genesis Science Report with David Rives | S02 Ep043",fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E044,2,44,provisional,S02 Ep044 | Scopes Trial at 100 and Nuclear Space Travel,fireside,"D1 — S02 deferred (platform-provisional, no production source)"
S02E045,2,45,provisional,Raptor Fossils and Solar Flares | Genesis Science Report with David Rives | S02 Ep45,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E046,2,46,provisional,Climate Change in Classrooms | Genesis Science Report with David Rives | S02 Ep46,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E047,2,47,provisional,Neanderthal Brains + Fusion Gold | Genesis Science Report with David Rives | S02 Ep47,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E048,2,48,provisional,"Extinction, Radioactive Dogs, & AI Singularity | Genesis Science Report with David Rives | S02 Ep48",fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E049,2,49,provisional,Rewriting Life's Code + Ringed Earth Theory | Genesis Science Report with David Rives | S02 Ep49,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E050,2,50,provisional,Monkey Bones + Dark Side of Evolution | Genesis Science Report with David Rives | S02 Ep50,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E051,2,51,provisional,"Harpy Eagles, Living Fossils, and Babel | Genesis Science Report with David Rives - S02 Ep51",fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E052,2,52,provisional,"DNA, and Age of Design Begins | Genesis Science Report with David Rives | S02 Ep52",fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E053,2,53,provisional,Shadowless Sunlight + Fight for Free Speech | Genesis Science Report with David Rives | S02Ep53,fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E054,2,54,provisional,"Snakes and Scientists: What's Being Hidden from the Public | Genesis Science Report - S02, Ep54",fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E055,2,55,provisional,"AI Supports the Bible, But Can It Save Humanity? | Genesis Science Report -S02 Ep55",fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E056,2,56,provisional,"The Age of Design Continues + Does Science Prove God? | Genesis Science Report - S02, Ep56",fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E057,2,57,provisional,"Nature's Superpowers: Owl Precision and Lizard Defenses | Genesis Science Report - S02, Ep57",fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
S02E058,2,58,provisional,"Exoplanets, Fossil Secrets, and the Age of Design | Genesis Science Report - S02, Ep58",fireside|youtube,"D1 — S02 deferred (platform-provisional, no production source)"
