episode_uid,guest_key,guest_full_name,segment,topic,role,source,confidence,needs_human
S03E001,tim-clarey,Tim Clarey,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E001,don-deyoung,Don Deyoung,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E002,jerry-bergman,Jerry Bergman,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E002,jeff-tomkins,Jeff Tomkins,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E003,,Rob Stadler Pt 1,,guest_full_name contains non-name qualifier (e.g. Pt 1/Roll in/x2/TBD); guest_key uncertain,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",low,true
S03E003,david-coppedge,David Coppedge,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E004,,Carl Werner Roll in,,guest_full_name contains non-name qualifier (e.g. Pt 1/Roll in/x2/TBD); guest_key uncertain,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",low,true
S03E004,,Rob Stadler Pt 2,,guest_full_name contains non-name qualifier (e.g. Pt 1/Roll in/x2/TBD); guest_key uncertain,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",low,true
S03E005,john-mackay,John Mackay,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E005,eric-hedin,Eric Hedin,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E006,joe-deweese,Joe Deweese,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E006,jason-lisle,Jason Lisle,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E007,jake-hebert,Jake Hebert,,,https://phys.org/news/2026-01-rex-grew-slowly-reveals-king.html,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E007,steve-furber,Steve Furber,,,https://www.theregister.com/2026/01/09/artificial_brains_supercomputer/,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E008,ian-macreadie,Ian Macreadie,,,https://www.livescience.com/health/viruses-infections-disease/viruses-that-evolved-on-the-space-station-and-were-sent-back-to-earth-were-more-effective-at-killing-bacteria,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E008,dr-david-dewitt,Dr. David Dewitt,,,https://news.yale.edu/2025/02/06/study-sheds-light-genetic-changes-shaped-human-brain-evolution,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E009,michael-houts,Michael Houts,,,https://www.nasa.gov/news-release/nasa-department-of-energy-to-develop-lunar-surface-reactor-by-2030/,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E009,tommy-lohman,Tommy Lohman,,,https://scitechdaily.com/these-giant-long-necked-dinosaurs-could-stand-upright-and-scientists-finally-figured-out-why/,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E010,jeff-williams,Jeff Williams,,,https://arstechnica.com/space/2026/02/congress-advances-bill-requiring-nasa-to-reconsider-deorbiting-space-station/,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E010,brian-young,Brian Young,,,https://www.city-journal.org/article/gen-z-religion-christianity-church,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E011,charles-jackson,Charles Jackson,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E011,paul-nelson,Paul Nelson,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E012,doug-velting,Doug Velting,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E012,gordon-wilson,Gordon Wilson,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E013,charles-jackson,Charles Jackson,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E013,glenn-wilson,Glenn Wilson,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E014,brian-thomas,Brian Thomas,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E014,stuart-burgess,Stuart Burgess,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E015,carl-werner,Carl Werner,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E015,dan-janzen,Dan Janzen,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E016,frank-sherwin,"Frank Sherwin (Dallas, TX)",,"guest_raw='Frank Sherwin (Dallas, TX)'",,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E016,stephen-meyer,Stephen Meyer,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E017,brian-thomas,"Brian Thomas (Dallas, TX)",,"guest_raw='Brian Thomas (Dallas, TX)'",,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E017,scott-stripling,"Scott Stripling (Katy, TX)",,"guest_raw='Scott Stripling (Katy, TX)'",,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E018,john-barentine,"John Barentine (Tucson, AZ)",,"guest_raw='John Barentine (Tucson, AZ)'",,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E018,stephen-meyer,Stephen Meyer,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E019,joeseph-hubbard,"Joeseph Hubbard (Oswestry, UK)",,"guest_raw='Joeseph Hubbard (Oswestry, UK)'",,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E019,tom-rogers,Tom Rogers (B.C. Canada),,guest_raw='Tom Rogers (B.C. Canada)',,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E020,mike-houts,Mike Houts (Madison AL),,guest_raw='Mike Houts (Madison AL)',,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E020,andrew-fabich,Andrew Fabich (Gainsville GA),,guest_raw='Andrew Fabich (Gainsville GA)',,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E021,david-legates,David Legates,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E021,billy-hallowell,Billy Hallowell,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E022,tim-clarey,Tim Clarey,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E022,,Bergman,,last-name-only token in source; guest_key uncertain,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",low,true
S03E023,,Andrew Fabich (TBD),,guest_raw='Andrew Fabich (TBD)'; guest_full_name contains non-name qualifier (e.g. Pt 1/Roll in/x2/TBD); guest_key uncertain,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",low,true
S03E023,dan-janzen,Dan Janzen,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E024,carl-werner,Carl Werner,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E024,dr-ming-wang,Dr. Ming Wang,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E025,jeff-tomkins,Jeff Tomkins,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
S03E025,,Coppedge,,last-name-only token in source; guest_key uncertain,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",low,true
S03E026,gordon-wilson,Gordon Wilson,,,,"2026 MONTHLY INTERVIEW SCHEDULE (id 18PkpvkjYcLY3ZYTkXA3s0-t31ORhv8e0Di8SiTi6PY8, modified 2026-05-29)",medium,false
