name,description,asset_type,is_loop,duration_sec,resolution,source,source_url,license_type,server_file_path,file_path,file_hash,tags,confidence,needs_human,raw_category,raw_asset_name,raw_type,raw_use_case,raw_source_origin,raw_attribution_required,raw_attribution_text,raw_first_seen,raw_notes,provenance_source_file,provenance_source_id
PM Astronomy B-roll,"Generic deep-space, stars, galaxies - opening monologue cosmology beds",b_roll_loop,true,,,Internal library (ProPresenter),,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Astronomy B-roll,Pre-made: B-roll,"Generic deep-space, stars, galaxies - opening monologue cosmology beds",Internal library (ProPresenter),NO,,Jan,Most frequently reused B-roll across all 5 months. Safe default for any space/cosmology topic.,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Galaxy B-roll (Loop 1),Galaxy / spiral arm visuals,b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Galaxy B-roll (Loop 1),Pre-made: B-roll,Galaxy / spiral arm visuals,Internal library,NO,,Jan,Two distinct galaxy loops exist,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Galaxy B-roll (Loop 2),Galaxy / spiral arm visuals (alternate),b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Galaxy B-roll (Loop 2),Pre-made: B-roll,Galaxy / spiral arm visuals (alternate),Internal library,NO,,Feb,Two distinct galaxy loops exist,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM ISS B-roll,"Space station, manned spaceflight, orbital science",b_roll_loop,true,,,Internal library,,public_domain,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM ISS B-roll,Pre-made: B-roll,"Space station, manned spaceflight, orbital science",Internal library,NO,,Feb,Likely NASA-sourced (PD),GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Moon B-roll,"Lunar topics, eclipses, Apollo references",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Moon B-roll,Pre-made: B-roll,"Lunar topics, eclipses, Apollo references",Internal library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Black hole B-roll,"Black holes, event horizons, gravitational topics",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Black hole B-roll,Pre-made: B-roll,"Black holes, event horizons, gravitational topics",Internal library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Alien Planet B-roll,"Exoplanets, habitability, astrobiology beds",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Alien Planet B-roll,Pre-made: B-roll,"Exoplanets, habitability, astrobiology beds",Internal library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM NASA B-roll,"Mission control, rockets, NASA-branded imagery",b_roll_loop,true,,,Internal library,,public_domain,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM NASA B-roll,Pre-made: B-roll,"Mission control, rockets, NASA-branded imagery",Internal library,NO,,Apr,NASA material is PD by default,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Planet Earth B-roll,"Earth from space, climate, global topics",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Planet Earth B-roll,Pre-made: B-roll,"Earth from space, climate, global topics",Internal library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Earth's Atmosphere B-roll,"Atmosphere, weather systems, climate beds",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Earth's Atmosphere B-roll,Pre-made: B-roll,"Atmosphere, weather systems, climate beds",Internal library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Fine-tuning B-roll,"Fine-tuning argument, cosmological constants",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Fine-tuning B-roll,Pre-made: B-roll,"Fine-tuning argument, cosmological constants",Internal library,NO,,Feb,Reusable for any teleological discussion,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Nuclear power B-roll,"Nuclear physics, energy, stellar fusion analogs",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Nuclear power B-roll,Pre-made: B-roll,"Nuclear physics, energy, stellar fusion analogs",Internal library,NO,,Apr,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM DNA B-roll,"Genetics, molecular biology, design arguments",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM DNA B-roll,Pre-made: B-roll,"Genetics, molecular biology, design arguments",Internal library,NO,,Jan,Heavy-rotation asset,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Crispr Genetics B-roll,"Gene editing, biotech, modern genetics news",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Crispr Genetics B-roll,Pre-made: B-roll,"Gene editing, biotech, modern genetics news",Internal library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Neuron B-roll,"Neuroscience, brain topics, consciousness",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Neuron B-roll,Pre-made: B-roll,"Neuroscience, brain topics, consciousness",Internal library,NO,,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Neurons B-roll,Neuroscience (alternate loop),b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Neurons B-roll,Pre-made: B-roll,Neuroscience (alternate loop),Internal library,NO,,Mar,Distinct from PM Neuron,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Brain B-roll,"Brain anatomy, cognition, mind topics",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Brain B-roll,Pre-made: B-roll,"Brain anatomy, cognition, mind topics",Internal library,NO,,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Bacteria B-roll,"Microbiology, origin of life, microbial topics",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Bacteria B-roll,Pre-made: B-roll,"Microbiology, origin of life, microbial topics",Internal library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Microscope B-roll,"Lab work, scientific method, microbiology beds",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Microscope B-roll,Pre-made: B-roll,"Lab work, scientific method, microbiology beds",Internal library,NO,,Feb,Pairs well with PM Bacteria / DNA,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Fossil B-roll,"Generic fossils, paleontology, age-of-earth topics",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Fossil B-roll,Pre-made: B-roll,"Generic fossils, paleontology, age-of-earth topics",Internal library,NO,,Jan,Most-used paleo asset,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Dino Excavation B-roll,"Dig sites, field paleontology, dinosaur discoveries",b_roll_loop,true,,,Internal library,,none_internal,,,,DINOSAURS & PALEO,high,false,DINOSAURS & PALEO,PM Dino Excavation B-roll,Pre-made: B-roll,"Dig sites, field paleontology, dinosaur discoveries",Internal library,NO,,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Alamosaurus B-roll,Specific dinosaur (Alamosaurus),b_roll_loop,true,,,Internal library,,none_internal,,,,DINOSAURS & PALEO,high,false,DINOSAURS & PALEO,PM Alamosaurus B-roll,Pre-made: B-roll,Specific dinosaur (Alamosaurus),Internal library,NO,,Mar,Species-specific,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Apatosaurus B-roll,Specific dinosaur (Apatosaurus),b_roll_loop,true,,,Internal library,,none_internal,,,,DINOSAURS & PALEO,high,false,DINOSAURS & PALEO,PM Apatosaurus B-roll,Pre-made: B-roll,Specific dinosaur (Apatosaurus),Internal library,NO,,Apr,Species-specific,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Dino Fossil B-roll,Dinosaur fossils specifically,b_roll_loop,true,,,Internal library,,none_internal,,,,DINOSAURS & PALEO,high,false,DINOSAURS & PALEO,PM Dino Fossil B-roll,Pre-made: B-roll,Dinosaur fossils specifically,Internal library,NO,,Mar,More specific than PM Fossil,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Neanderthal B-roll,"Human origins, anthropology, hominid topics",b_roll_loop,true,,,Internal library,,none_internal,,,,DINOSAURS & PALEO,high,false,DINOSAURS & PALEO,PM Neanderthal B-roll,Pre-made: B-roll,"Human origins, anthropology, hominid topics",Internal library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Geology B-roll,"Strata, rock formations, geological time",b_roll_loop,true,,,Internal library,,none_internal,,,,GEOLOGY & FLOOD,high,false,GEOLOGY & FLOOD,PM Geology B-roll,Pre-made: B-roll,"Strata, rock formations, geological time",Internal library,NO,,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Post Flood B-roll,"Flood geology, post-flood world, Ice Age aftermath",b_roll_loop,true,,,Internal library,,none_internal,,,,GEOLOGY & FLOOD,high,false,GEOLOGY & FLOOD,PM Post Flood B-roll,Pre-made: B-roll,"Flood geology, post-flood world, Ice Age aftermath",Internal library,NO,,Mar,Faith-framework specific,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Flood B-roll loop,"Flood event, deluge imagery - Genesis 6-8",b_roll_loop,true,,,Internal library,,none_internal,,,,GEOLOGY & FLOOD,high,false,GEOLOGY & FLOOD,Flood B-roll loop,B-roll,"Flood event, deluge imagery - Genesis 6-8",Internal library,NO,,Feb,May exist as multiple loops,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Church B-roll,"Ministry topics, religious freedom, cultural commentary",b_roll_loop,true,,,Internal library,,none_internal,,,,RELIGIOUS & CULTURAL,high,false,RELIGIOUS & CULTURAL,PM Church B-roll,Pre-made: B-roll,"Ministry topics, religious freedom, cultural commentary",Internal library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Bible B-roll,"Scripture references, theology, devotional beds",b_roll_loop,true,,,Internal library,,none_internal,,,,RELIGIOUS & CULTURAL,high,false,RELIGIOUS & CULTURAL,PM Bible B-roll,Pre-made: B-roll,"Scripture references, theology, devotional beds",Internal library,NO,,Jan,Heavy-rotation asset,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Protest B-roll,"Social unrest, cultural decay, current events",b_roll_loop,true,,,Internal library,,none_internal,,,,RELIGIOUS & CULTURAL,high,false,RELIGIOUS & CULTURAL,PM Protest B-roll,Pre-made: B-roll,"Social unrest, cultural decay, current events",Internal library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Classroom B-roll,"Education topics, public school evolution debates",b_roll_loop,true,,,Internal library,,none_internal,,,,RELIGIOUS & CULTURAL,high,false,RELIGIOUS & CULTURAL,PM Classroom B-roll,Pre-made: B-roll,"Education topics, public school evolution debates",Internal library,NO,,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Scientists in labs B-roll,"Research, peer review, modern science process",b_roll_loop,true,,,Internal library,,none_internal,,,,LAB & SCIENCE,high,false,LAB & SCIENCE,PM Scientists in labs B-roll,Pre-made: B-roll,"Research, peer review, modern science process",Internal library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM AI B-roll,"Artificial intelligence, technology, modern tech topics",b_roll_loop,true,,,Internal library,,none_internal,,,,AI & TECH,high,false,AI & TECH,PM AI B-roll,Pre-made: B-roll,"Artificial intelligence, technology, modern tech topics",Internal library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM CTN Graphic,Christian Television Network branding,graphic,false,,,Internal library,,none_internal,,,,TEMPLATES,high,false,TEMPLATES,PM CTN Graphic,Pre-made: Graphic,Christian Television Network branding,Internal library,NO,,Jan,Network-specific - verify before non-CTN use,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
The Darwin Effect (Jerry Bergman),"Bergman interviews, Darwinism critiques",graphic,false,,,Author/publisher promotional,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),The Darwin Effect (Jerry Bergman),Picture,"Bergman interviews, Darwinism critiques",Author/publisher promotional,FAIR USE,Editorial use - book cover for review/discussion,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Carved in Stone (Tim Clarey),"Clarey interviews, flood geology topics",graphic,false,,,ICR Store,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),Carved in Stone (Tim Clarey),Picture,"Clarey interviews, flood geology topics",ICR Store,FAIR USE,Editorial use,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Climate and Energy: The Case for Realism,"Legates interviews, climate topics",graphic,false,,,Publisher promotional,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),Climate and Energy: The Case for Realism,Picture,"Legates interviews, climate topics",Publisher promotional,FAIR USE,Editorial use,Apr,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
The Stairway to Life,"Origin of life topics, abiogenesis critiques",graphic,false,,,Publisher promotional,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),The Stairway to Life,Picture,"Origin of life topics, abiogenesis critiques",Publisher promotional,FAIR USE,Editorial use,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Scientific Approach to Evolution,"Evolution critique, methodology discussions",graphic,false,,,Publisher promotional,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),Scientific Approach to Evolution,Picture,"Evolution critique, methodology discussions",Publisher promotional,FAIR USE,Editorial use,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Fossils Still Say No,"Paleo topics, evolution critique",graphic,false,,,Publisher promotional,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),Fossils Still Say No,Picture,"Paleo topics, evolution critique",Publisher promotional,FAIR USE,Editorial use,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Dinosaurs: Real-Life Dragons,"Dinosaur topics, post-flood reptile theories",graphic,false,,,Publisher promotional,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),Dinosaurs: Real-Life Dragons,Picture,"Dinosaur topics, post-flood reptile theories",Publisher promotional,FAIR USE,Editorial use,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Beholding Behemoth (DVD),"Dinosaur topics, biblical references",graphic,false,,,Publisher promotional,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),Beholding Behemoth (DVD),Picture,"Dinosaur topics, biblical references",Publisher promotional,FAIR USE,Editorial use,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
The God Hypothesis (Stephen Meyer),"Design arguments, cosmology, philosophy of science",graphic,false,,,Publisher promotional,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),The God Hypothesis (Stephen Meyer),Picture,"Design arguments, cosmology, philosophy of science",Publisher promotional,FAIR USE,Editorial use,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Canceled Science,"Academic suppression, design topics",graphic,false,,,Publisher promotional,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),Canceled Science,Picture,"Academic suppression, design topics",Publisher promotional,FAIR USE,Editorial use,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
The Work of His Hands (Williams),"Personal testimony, scientist-believers",graphic,false,,,Publisher promotional,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),The Work of His Hands (Williams),Picture,"Personal testimony, scientist-believers",Publisher promotional,FAIR USE,Editorial use,Apr,Verify author name before air,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Earth Systems book,"Climate, earth science, environmental topics",graphic,false,,,Publisher promotional,,fair_use,,,,BOOK COVERS (Recurring),medium,false,BOOK COVERS (Recurring),Earth Systems book,Picture,"Climate, earth science, environmental topics",Publisher promotional,FAIR USE,Editorial use,Apr,Full title needs verification,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Hebrews 11:3,"Faith, creation by word, design arguments",graphic,false,,,ProPresenter library,,none_internal,,,,SCRIPTURE / PROPRES,medium,false,SCRIPTURE / PROPRES,Hebrews 11:3,Propres Quote,"Faith, creation by word, design arguments",ProPresenter library,NO,,Jan,Most-used scripture cue,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Psalm 139:14,"Human design, biology, intricacy",graphic,false,,,ProPresenter library,,none_internal,,,,SCRIPTURE / PROPRES,medium,false,SCRIPTURE / PROPRES,Psalm 139:14,Propres Quote,"Human design, biology, intricacy",ProPresenter library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Romans 1:20,"General revelation, design from creation",graphic,false,,,ProPresenter library,,none_internal,,,,SCRIPTURE / PROPRES,medium,false,SCRIPTURE / PROPRES,Romans 1:20,Propres Quote,"General revelation, design from creation",ProPresenter library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Job 12:7-10,"Creation testimony, nature speaks",graphic,false,,,ProPresenter library,,none_internal,,,,SCRIPTURE / PROPRES,medium,false,SCRIPTURE / PROPRES,Job 12:7-10,Propres Quote,"Creation testimony, nature speaks",ProPresenter library,NO,,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Genesis 1:14,"Astronomy, signs and seasons, calendars",graphic,false,,,ProPresenter library,,none_internal,,,,SCRIPTURE / PROPRES,medium,false,SCRIPTURE / PROPRES,Genesis 1:14,Propres Quote,"Astronomy, signs and seasons, calendars",ProPresenter library,NO,,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Numbers 24:17,"Star prophecy, messianic astronomy",graphic,false,,,ProPresenter library,,none_internal,,,,SCRIPTURE / PROPRES,medium,false,SCRIPTURE / PROPRES,Numbers 24:17,Propres Quote,"Star prophecy, messianic astronomy",ProPresenter library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Leviticus 7,"Old Testament law, sacrificial system",graphic,false,,,ProPresenter library,,none_internal,,,,SCRIPTURE / PROPRES,medium,false,SCRIPTURE / PROPRES,Leviticus 7,Propres Quote,"Old Testament law, sacrificial system",ProPresenter library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Colossians 3:1-2,"Eternal perspective, things above",graphic,false,,,ProPresenter library,,none_internal,,,,SCRIPTURE / PROPRES,medium,false,SCRIPTURE / PROPRES,Colossians 3:1-2,Propres Quote,"Eternal perspective, things above",ProPresenter library,NO,,Apr,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
Colossians 1:16-17,"Christ as Creator, cosmological Christology",graphic,false,,,ProPresenter library,,none_internal,,,,SCRIPTURE / PROPRES,medium,false,SCRIPTURE / PROPRES,Colossians 1:16-17,Propres Quote,"Christ as Creator, cosmological Christology",ProPresenter library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
